#attraction, lat, long, ride_size, ride_time, number_of_trains, number_of_tickets
#Origin, 57.697205818753034, 11.986839518326274, -1, -1, -1, -1
Helix, 57.69563537170643, 11.990327490783127, 20, 130, 3, 4
AtmosFear, 57.69524859524083, 11.990814405084546, 36, 120, 1, 4
Lisebergsbanan, 57.69458265322064, 11.993032407340397, 22, 170, 5, 3
Loke, 57.69387379765778, 11.99504314866502, 40, 100, 1, 4
Balder, 57.693445306043834, 11.995859343206, 30, 128, 2, 4
Valkyria, 57.69326772837696, 11.995245388320178, 18, 177, 3, 4
Mechanica, 57.692941532789405, 11.99438224967685, 30, 180, 1, 3
FlumeRide, 57.69278192319005, 11.993052296745972, 4, 240, 28, 3
Hanghai, 57.69257083524118, 11.992816262357554, 40, 144, 1, 2
