#type, name, lat, long, ride_size, ride_time, number_of_trains, number_of_tickets
SPAWN, Head_Entry, 57.6968920045481, 11.990610027599178, 0, 0, 0, 0
SPAWN, Back_Entry, 57.69208963555034, 11.992896610684761, 0, 0, 0, 0
ATTRACTION, Helix, 57.69563537170643, 11.990327490783127, 20, 130, 3, 4
ATTRACTION, AtmosFear, 57.69524859524083, 11.990814405084546, 36, 120, 1, 4
ATTRACTION, Lisebergsbanan, 57.69458265322064, 11.993032407340397, 22, 170, 5, 3
ATTRACTION, Loke, 57.69387379765778, 11.99504314866502, 40, 100, 1, 4
ATTRACTION, Balder, 57.693445306043834, 11.995859343206, 30, 128, 2, 4
ATTRACTION, Valkyria, 57.69326772837696, 11.995245388320178, 18, 177, 3, 4
ATTRACTION, Mechanica, 57.692941532789405, 11.99438224967685, 30, 180, 1, 3
ATTRACTION, FlumeRide, 57.69278192319005, 11.993052296745972, 4, 240, 28, 3
ATTRACTION, Hanghai, 57.69257083524118, 11.992816262357554, 40, 144, 1, 2
ATTRACTION, Aerospin, 57.69381499195899, 11.993220379564828, 24, 180, 1, 3
ATTRACTION, Slänggungan, 57.69324840259861, 11.99385689758977, 56, 144, 1, 2
